ID;Sentence;A.1);B.1);C.1);D.1);E.1);E.2);F.1);F.2);G.1);I.1);I.2);L.1);L.2);M.1);M.2);M.3);M.4);N.1);O.1);O.2);P.1)
0;È importante far si che la nuova scuola sia come un grande laboratorio  permanente, una sorta di piazza della comunità, uno spaccato della società;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Metodi e strumenti digitali possono essere di supporto allo sviluppo delle attività individuali e di gruppo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2;Sarebbe auspicabile poter utilizzare tecnologie di sostegno per la formazione degli alunni con handicap o difficoltà dell’apprendimento, come smartboard o lavagne touch screen dedicate;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
3;Sulla base di un supporto tecnologico idoneo, sarà pensabile strutturare la didattica anche secondo altri modelli e nuovi obiettivi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
4;Spazi adeguati ed ergonomicamente stimolanti consentiranno di svolgere attività correlate di apprendimento e di progettualità;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;I nuovi spazi verdi permetteranno di svolgere attività didattiche all’aperto, a contatto con la natura, di conseguire competenze attraverso lo studio dei processi naturali e delle stagioni;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
6;I rifiuti saranno raccolti in un’aula dedicata e l’alunno avrà un riscontro diretto dell’impatto che le attività antropiche hanno sulla natura;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Ristabilire la centralità della scuola nella vita di ogni singolo cittadino e nel paese;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Una scuola che non sia centrale solo per la fase che riguarda il bambino, ma rappresenti la centralità per tutto il ciclo di vita dei cittadini;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Il Campus della formazione potrà costituire un vero punto di riferimento per il paese, essere fisicamente e concettualmente la piazza del paese;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Attraverso supporti tecnologici idonei sarà possibile strutturare la didattica secondo altri modelli e nuovi obiettivi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
11;Nel nuovo modello scolastico, la cattedra non esiste più, esistono tavoli da lavoro con la possibilità di combinarli e scinderli all’occorrenza;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
12;Gli arredi si adattano al modello Open Space Tecnology;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
13;Promuovere la costruzione, da parte degli alunni, di una solida identità personale e culturale, insieme al senso di appartenenza alla propria Comunità locale;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;Ottimizzare l’uso di strutture comuni e ridurre l’impatto degli edifici sul territorio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
15;Assumerà estrema importanza nel progetto la risoluzione del problema dell’accessibilità per gli utenti portatori di handicap o soggetti deboli;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
16;Centrale nella composizione architettonica dovrà essere l’elemento Natura, inteso come verde naturale, verde architettonico, paesaggio e panorama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;È necessario prevedere il cablaggio della rete internet su tutta la struttura, le LIM in tutte le classi, l’uso del registro elettronico, e possibilmente l’uso di cloud e sistemi di backup;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
18;Minimizzare l'impronta dell'edificio per limitare la distruzione del sito e promuovere la biodiversità;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19;Dotare l'area di attrezzature e di misure finalizzate all'utilizzo di mezzi di trasporto alternativi e che limitino l’uso di veicoli occupati da singoli individui;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
20;Promuovere la cultura dello spostamento a piedi e o in biciletta;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
21;Minimizzare le dispersioni luminose generate dall’edificio e dal sito e ridurre l’impatto negativo indotto dall’illuminazione dell’edificio durante il periodo notturno;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
22;Minimizzare la quantità delle acque grigie riversate in fognatura per ridurne il carico inquinante e prevederne il riutilizzo quasi totale per usi non potabili;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
23;Le scelte progettuali devono avere efficacia sulla qualità e sostenibilità ambientale del sito e dell'edificio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
24;Le scelte progettuali devono essere uno strumento educativo e di apprendimento per gli studenti;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;Progettare l'edificio prevedendo disponibilità di spazi aventi orientamento ottimale per l'integrazione di impianti per la produzione di energia da fonti rinnovabili;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
26;Modulare la distribuzione delle aule in funzione dell'orientamento ottimale per massimizzare gli apporti energetici gratuiti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
27;Il campus va progettato con canoni architettonici tipici di un luogo pubblico e con una chiara identificazione degli ingressi;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;Spazi fruibili anche in maniera indipendente dalla scuola e dagli orari scolastici;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
29;Gli spazi dedicati alla didattica dovranno essere concepiti con una geometria che ne consenta un uso flessibile, in funzione delle diverse modalità di insegnamento;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
30;Il fabbricato concepito oggi deve essere adattabile nel lungo periodo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
